lead_id,date,channel,campaign,country,age_group,device,leads,prospects,MQL,SQL,opportunities,customers,revenue,cost
L001,2024-01-05,Social Media,Brand Awareness,India,18-24,Mobile,500,320,180,90,60,35,52500,8000
L002,2024-01-10,Email,Newsletter,USA,25-34,Desktop,300,210,150,85,55,40,72000,5000
L003,2024-01-15,SEO,Organic,UK,35-44,Desktop,400,280,160,80,50,30,54000,3000
L004,2024-01-20,Paid Ads,Google Ads,India,25-34,Mobile,600,380,200,100,70,45,81000,12000
L005,2024-01-25,Referral,Partner,USA,45-54,Desktop,150,120,90,60,45,35,70000,2000
L006,2024-02-05,Social Media,Influencer,India,18-24,Mobile,700,420,210,95,65,38,57000,10000
L007,2024-02-10,Email,Promotion,USA,25-34,Desktop,350,240,165,90,58,42,75600,6000
L008,2024-02-15,SEO,Organic,UK,35-44,Desktop,420,300,170,85,52,32,57600,3500
L009,2024-02-20,Paid Ads,Facebook Ads,India,18-24,Mobile,800,480,240,110,75,48,86400,15000
L010,2024-02-25,Referral,Affiliate,USA,35-44,Desktop,180,145,105,68,50,38,76000,2500
L011,2024-03-05,Social Media,Brand Awareness,India,25-34,Mobile,550,350,195,98,68,40,60000,9000
L012,2024-03-10,Email,Newsletter,USA,45-54,Desktop,280,200,140,78,50,36,64800,4500
L013,2024-03-15,SEO,Organic,UK,25-34,Desktop,450,310,175,88,55,33,59400,3200
L014,2024-03-20,Paid Ads,Google Ads,India,18-24,Mobile,650,400,210,105,72,46,82800,13000
L015,2024-03-25,Referral,Partner,USA,25-34,Desktop,160,128,96,64,48,37,74000,2200
L016,2024-04-05,Social Media,Influencer,India,18-24,Mobile,750,450,225,100,68,42,63000,11000
L017,2024-04-10,Email,Promotion,USA,35-44,Desktop,320,225,158,86,56,41,73800,5500
L018,2024-04-15,SEO,Organic,UK,45-54,Desktop,380,265,152,76,48,29,52200,2800
L019,2024-04-20,Paid Ads,Facebook Ads,India,25-34,Mobile,900,540,270,120,82,52,93600,16000
L020,2024-04-25,Referral,Affiliate,USA,18-24,Mobile,200,158,115,72,53,40,80000,2800
L021,2024-05-05,Social Media,Brand Awareness,India,35-44,Mobile,480,305,170,85,58,34,51000,7500
L022,2024-05-10,Email,Newsletter,USA,25-34,Desktop,310,218,152,84,54,39,70200,4800
L023,2024-05-15,SEO,Organic,UK,18-24,Desktop,430,295,165,83,52,31,55800,3100
L024,2024-05-20,Paid Ads,Google Ads,India,25-34,Mobile,700,420,220,108,74,48,86400,14000
L025,2024-05-25,Referral,Partner,USA,45-54,Desktop,170,136,100,65,49,38,76000,2300
L026,2024-06-05,Social Media,Influencer,India,18-24,Mobile,820,490,245,108,74,44,66000,12000
L027,2024-06-10,Email,Promotion,USA,25-34,Desktop,360,252,175,95,62,45,81000,6200
L028,2024-06-15,SEO,Organic,UK,35-44,Desktop,460,320,180,90,56,34,61200,3400
L029,2024-06-20,Paid Ads,Facebook Ads,India,18-24,Mobile,950,570,285,125,86,55,99000,17000
L030,2024-06-25,Referral,Affiliate,USA,25-34,Desktop,210,168,122,76,56,42,84000,3000
L031,2024-07-05,Social Media,Brand Awareness,India,25-34,Mobile,520,330,185,92,63,37,55500,8500
L032,2024-07-10,Email,Newsletter,USA,35-44,Desktop,290,205,143,80,52,38,68400,4600
L033,2024-07-15,SEO,Organic,UK,25-34,Desktop,440,305,172,86,54,32,57600,3300
L034,2024-07-20,Paid Ads,Google Ads,India,25-34,Mobile,720,432,225,112,76,50,90000,14500
L035,2024-07-25,Referral,Partner,USA,18-24,Mobile,155,124,93,62,46,36,72000,2100
L036,2024-08-05,Social Media,Influencer,India,18-24,Mobile,780,468,234,104,71,43,64500,11500
L037,2024-08-10,Email,Promotion,USA,45-54,Desktop,340,238,165,90,59,44,79200,5800
L038,2024-08-15,SEO,Organic,UK,25-34,Desktop,470,328,185,92,58,35,63000,3600
L039,2024-08-20,Paid Ads,Facebook Ads,India,25-34,Mobile,880,528,264,118,80,52,93600,16500
L040,2024-08-25,Referral,Affiliate,USA,35-44,Desktop,190,152,110,70,52,40,80000,2700
L041,2024-09-05,Social Media,Brand Awareness,India,35-44,Mobile,560,355,198,99,68,40,60000,9000
L042,2024-09-10,Email,Newsletter,USA,25-34,Desktop,320,224,156,86,56,41,73800,5000
L043,2024-09-15,SEO,Organic,UK,18-24,Desktop,450,315,178,89,56,33,59400,3400
L044,2024-09-20,Paid Ads,Google Ads,India,18-24,Mobile,760,456,235,115,78,50,90000,15000
L045,2024-09-25,Referral,Partner,USA,25-34,Desktop,165,132,98,65,48,37,74000,2200
L046,2024-10-05,Social Media,Influencer,India,18-24,Mobile,850,510,255,112,76,46,69000,12500
L047,2024-10-10,Email,Promotion,USA,35-44,Desktop,370,258,180,98,64,47,84600,6400
L048,2024-10-15,SEO,Organic,UK,45-54,Desktop,490,343,193,96,60,36,64800,3800
L049,2024-10-20,Paid Ads,Facebook Ads,India,25-34,Mobile,1000,600,300,132,90,58,104400,18000
L050,2024-10-25,Referral,Affiliate,USA,18-24,Mobile,220,176,128,80,59,45,90000,3200
L051,2024-11-05,Social Media,Brand Awareness,India,25-34,Mobile,600,380,212,106,72,43,64500,9500
L052,2024-11-10,Email,Newsletter,USA,45-54,Desktop,330,231,162,89,58,43,77400,5200
L053,2024-11-15,SEO,Organic,UK,35-44,Desktop,480,336,190,95,60,36,64800,3700
L054,2024-11-20,Paid Ads,Google Ads,India,18-24,Mobile,800,480,248,122,83,54,97200,15500
