customer_id,join_date,churn_date,status,age,gender,plan,monthly_charge,tenure_months,support_tickets,last_login_days,region,referral
C001,2023-01-05,2023-07-15,Churned,34,Male,Basic,29,6,3,45,North,No
C002,2023-01-10,,Active,28,Female,Premium,79,17,1,2,East,Yes
C003,2023-02-01,2023-08-20,Churned,45,Male,Standard,49,6,5,60,West,No
C004,2023-02-14,,Active,52,Female,Premium,79,16,0,5,South,Yes
C005,2023-03-01,2023-06-30,Churned,23,Male,Basic,29,3,7,90,North,No
C006,2023-03-15,,Active,31,Female,Standard,49,15,2,3,East,No
C007,2023-04-01,2023-10-01,Churned,40,Male,Premium,79,6,4,30,West,Yes
C008,2023-04-10,,Active,27,Female,Basic,29,14,1,7,Central,No
C009,2023-05-01,2023-09-15,Churned,36,Male,Standard,49,4,6,55,South,No
C010,2023-05-20,,Active,44,Female,Premium,79,13,0,1,North,Yes
C011,2023-06-01,2023-11-01,Churned,29,Male,Basic,29,5,8,75,East,No
C012,2023-06-15,,Active,38,Female,Standard,49,12,1,4,West,Yes
C013,2023-07-01,,Active,55,Male,Premium,79,11,0,2,South,No
C014,2023-07-10,2023-12-10,Churned,32,Female,Basic,29,5,5,50,Central,No
C015,2023-08-01,,Active,41,Male,Standard,49,10,2,6,North,Yes
C016,2023-08-15,2024-01-15,Churned,26,Female,Basic,29,5,9,80,East,No
C017,2023-09-01,,Active,48,Male,Premium,79,9,1,3,West,Yes
C018,2023-09-10,2024-02-10,Churned,33,Female,Standard,49,5,4,40,South,No
C019,2023-10-01,,Active,37,Male,Basic,29,8,3,8,Central,No
C020,2023-10-15,,Active,50,Female,Premium,79,8,0,1,North,Yes
C021,2023-11-01,2024-03-01,Churned,24,Male,Basic,29,4,6,65,East,No
C022,2023-11-15,,Active,43,Female,Standard,49,7,1,5,West,No
C023,2023-12-01,,Active,39,Male,Premium,79,6,0,2,South,Yes
C024,2023-12-10,2024-04-10,Churned,30,Female,Basic,29,4,7,70,Central,No
C025,2024-01-05,,Active,46,Male,Standard,49,5,2,4,North,Yes
C026,2024-01-15,2024-05-15,Churned,27,Female,Basic,29,4,8,85,East,No
C027,2024-02-01,,Active,53,Male,Premium,79,4,0,3,West,Yes
C028,2024-02-10,2024-06-10,Churned,35,Female,Standard,49,4,5,55,South,No
C029,2024-03-01,,Active,42,Male,Basic,29,3,1,6,Central,No
C030,2024-03-15,,Active,31,Female,Premium,79,3,0,2,North,Yes
C031,2024-04-01,2024-07-01,Churned,28,Male,Basic,29,3,9,95,East,No
C032,2024-04-10,,Active,47,Female,Standard,49,2,1,7,West,No
C033,2024-05-01,,Active,36,Male,Premium,79,1,0,4,South,Yes
C034,2024-05-15,2024-08-15,Churned,25,Female,Basic,29,3,6,60,Central,No
C035,2024-06-01,,Active,44,Male,Standard,49,0,2,5,North,No
C036,2023-01-20,2023-05-20,Churned,29,Female,Basic,29,4,10,100,East,No
C037,2023-02-05,,Active,38,Male,Premium,79,16,0,2,West,Yes
C038,2023-03-10,2023-09-10,Churned,41,Female,Standard,49,6,4,45,South,No
C039,2023-04-05,,Active,33,Male,Basic,29,14,2,8,Central,No
C040,2023-05-10,2023-11-10,Churned,26,Female,Premium,79,6,3,35,North,No
C041,2023-06-05,,Active,49,Male,Standard,49,12,1,3,East,Yes
C042,2023-07-20,2024-01-20,Churned,32,Female,Basic,29,6,7,70,West,No
C043,2023-08-05,,Active,37,Male,Premium,79,10,0,1,South,Yes
C044,2023-09-20,2024-03-20,Churned,44,Female,Standard,49,6,5,50,Central,No
C045,2023-10-05,,Active,28,Male,Basic,29,8,3,6,North,No
C046,2023-11-20,2024-05-20,Churned,35,Female,Premium,79,6,2,40,East,No
C047,2023-12-05,,Active,51,Male,Standard,49,6,1,4,West,Yes
C048,2024-01-20,2024-07-20,Churned,30,Female,Basic,29,6,8,80,South,No
C049,2024-02-05,,Active,43,Male,Premium,79,4,0,2,Central,Yes
C050,2024-03-20,,Active,27,Female,Standard,49,2,2,5,North,No
