order_id,date,product,category,region,units,unit_price,discount_pct,cost_per_unit
1001,2024-01-05,ProBook 15 Laptop,Electronics,North,3,850,5,510
1002,2024-01-08,AirBud Wireless,Electronics,East,5,220,0,110
1003,2024-01-12,RunMax Sneakers,Apparel,West,8,120,10,55
1004,2024-01-15,SmartWatch S3,Electronics,South,2,480,5,240
1005,2024-01-20,DreamBed Linen,Home & Garden,North,4,160,0,70
1006,2024-02-03,Flex Yoga Set,Sports,East,6,95,10,42
1007,2024-02-10,GlowSkin Serum,Beauty,West,10,88,0,30
1008,2024-02-14,ProBook 15 Laptop,Electronics,Central,2,850,8,510
1009,2024-02-18,AirBud Wireless,Electronics,North,7,220,5,110
1010,2024-02-25,RunMax Sneakers,Apparel,South,4,120,0,55
1011,2024-03-02,SmartWatch S3,Electronics,East,3,480,10,240
1012,2024-03-09,DreamBed Linen,Home & Garden,West,6,160,5,70
1013,2024-03-15,Flex Yoga Set,Sports,North,9,95,0,42
1014,2024-03-22,GlowSkin Serum,Beauty,South,12,88,5,30
1015,2024-04-01,ProBook 15 Laptop,Electronics,East,4,850,0,510
1016,2024-04-08,AirBud Wireless,Electronics,West,8,220,10,110
1017,2024-04-14,RunMax Sneakers,Apparel,North,10,120,5,55
1018,2024-04-20,SmartWatch S3,Electronics,Central,3,480,0,240
1019,2024-04-28,DreamBed Linen,Home & Garden,South,5,160,10,70
1020,2024-05-05,Flex Yoga Set,Sports,East,7,95,5,42
1021,2024-05-12,GlowSkin Serum,Beauty,North,15,88,0,30
1022,2024-05-18,ProBook 15 Laptop,Electronics,South,2,850,5,510
1023,2024-05-25,AirBud Wireless,Electronics,West,6,220,0,110
1024,2024-06-02,RunMax Sneakers,Apparel,East,9,120,10,55
1025,2024-06-09,SmartWatch S3,Electronics,North,4,480,5,240
1026,2024-06-16,DreamBed Linen,Home & Garden,Central,3,160,0,70
1027,2024-06-23,Flex Yoga Set,Sports,South,5,95,0,42
1028,2024-07-01,GlowSkin Serum,Beauty,East,8,88,10,30
1029,2024-07-08,ProBook 15 Laptop,Electronics,North,5,850,0,510
1030,2024-07-15,AirBud Wireless,Electronics,South,4,220,5,110
1031,2024-07-22,RunMax Sneakers,Apparel,West,12,120,0,55
1032,2024-07-29,SmartWatch S3,Electronics,East,2,480,10,240
1033,2024-08-05,DreamBed Linen,Home & Garden,North,7,160,5,70
1034,2024-08-12,Flex Yoga Set,Sports,Central,6,95,0,42
1035,2024-08-19,GlowSkin Serum,Beauty,West,14,88,5,30
1036,2024-08-26,ProBook 15 Laptop,Electronics,East,3,850,0,510
1037,2024-09-02,AirBud Wireless,Electronics,North,9,220,10,110
1038,2024-09-09,RunMax Sneakers,Apparel,South,6,120,5,55
1039,2024-09-16,SmartWatch S3,Electronics,West,4,480,0,240
1040,2024-09-23,DreamBed Linen,Home & Garden,East,5,160,10,70
1041,2024-10-01,Flex Yoga Set,Sports,North,8,95,5,42
1042,2024-10-08,GlowSkin Serum,Beauty,South,11,88,0,30
1043,2024-10-15,ProBook 15 Laptop,Electronics,West,4,850,5,510
1044,2024-10-22,AirBud Wireless,Electronics,Central,6,220,0,110
1045,2024-10-29,RunMax Sneakers,Apparel,East,14,120,10,55
1046,2024-11-05,SmartWatch S3,Electronics,North,5,480,5,240
1047,2024-11-12,DreamBed Linen,Home & Garden,South,8,160,0,70
1048,2024-11-19,Flex Yoga Set,Sports,West,10,95,10,42
1049,2024-11-26,GlowSkin Serum,Beauty,East,18,88,5,30
1050,2024-12-03,ProBook 15 Laptop,Electronics,North,6,850,0,510
1051,2024-12-10,AirBud Wireless,Electronics,South,10,220,5,110
1052,2024-12-17,RunMax Sneakers,Apparel,West,15,120,0,55
1053,2024-12-24,SmartWatch S3,Electronics,East,7,480,10,240
1054,2024-12-30,DreamBed Linen,Home & Garden,Central,4,160,5,70
